,SupersidedCode,ActualCode
818,8624645,8710208
819,8624801,8608312
820,8624884,8624885
821,8624884,3750657
822,8624885,8624884
823,8624921,8626580
824,8624940,8606949
825,8624979,8619275
826,8624981,5401399
827,8624995,8624882
828,8625007,96984
829,8625029,8602527
830,8625241,8623899
831,8625242,8623901
832,8625245,5401399
833,8625403,8622667
834,8625858,8602531
835,8625953,8623145
836,8625960,7213
837,8626053,3548469
838,8626174,8625357
839,8626175,8625358
840,8626176,8625359
841,8626177,8625360
842,8626178,8625361
843,8626234,8617992
844,8626243,8620238
845,8626268,8609229
846,8626816,100236
847,8626929,8622066
848,8626958,8626930
849,8626996,1182672
850,8626997,4203477
851,8627000,8811042
852,8627050,6009424
853,8627058,4202202
854,8627059,4203477
855,8627060,6001755
856,8627145,6522FIL
857,8627189,8619233
858,8627297,8628028
859,8627443,8608869
860,8627575,8622670
861,8627576,8622669
862,8627636,8616092
863,8627874,3752031
864,8627963,4202202
865,8627965,8624982
866,8627967,8624983
867,8627968,8607441
868,8628063,8810577
869,8628326,8617940
870,8628507,8616092
871,8628520,96984
872,8628521,96985
873,8628980,8613780
874,8628981,8605807
875,8629036,8621609
876,8629252,8620074
877,8629784,8640274
878,8630012,8630906
879,8631041,8630415
880,8631383,8629781
881,8640207,8630403
882,8640266,8630402
883,868504-025,420-06036
884,8700021,100236
885,8700310,8608057
886,8700586,8606360
887,8701155,8707196
888,8701204,8705751
889,8701404,8707404
890,8701469,8606631
891,8701998,8703804
892,8703790,3548469
893,8703804,8605828
894,8703804,8701998
895,8703808,3543871
896,8704028,95014
897,8704294,8620617
898,8704484,8620617
899,8705130,3548470
900,8705132,3546974
901,8705616,3702699A
902,8705617,3702699A
903,8705668,8707945
904,8705751,8701204
905,8705949,8624405
906,8705960,5005088
907,8705961,5005086
908,8706112,2767-0082
909,8707063,8708015
910,8707064,8708020
911,8707065,8708017
912,8707196,8701155
913,8707404,8701404
914,8707765,3548471
915,8707944,5307030
916,8707945,8705668
917,8708018,8708017
918,8708591,3702699A
919,8709485,3548473
920,8709574,100634
921,8709913,6002952
922,8710601,562803
923,8710614,562716
924,8710670,B99
925,8710671,8610284
926,8712742,8717545
927,8714846,8617567
928,8714847,3751999
929,8717034,8623083
930,8717035,8621610
931,8717534,8623086
932,87189,49227
933,87453,601958
934,87548,9018206
935,87612,601408
936,8801569,9013423
937,8803234,8803385
938,8803245,97003
939,8803653,602518
940,8803868,3541292
941,8803914,5009743
942,8804508,104859
943,8804521,17447
944,8804557,3540832
945,8804562,3540365
946,8804952,3548440
947,8804953,3548470
948,8804957,5005191
949,8804994,8805586_EU
950,8805248,5306854
951,8805255,5304188
952,8805273,5305976
953,8805291,5304187
954,8805551,5400236
955,8805587_EU,6006893
956,8805589_EU,6006889
957,8807315,5400236
958,8807344,3544479
959,8809598,5308524
960,8809613,8009664
961,8809838,36914
962,8810707,8811085
